x,y,vocab,count
-11.088486,-16.045267,overoles,14
-11.486584,-16.19413,capuchas,12
-28.385332,-5.622037,mochilas,81
-11.401658,-17.40225,utilizaban,33
5.0380273,-22.227333,personal_policial,229
-2.9235284,-13.633008,ingresó,445
21.636251,-9.025051,recinto,1174
-4.482039,49.50081,logró,1282
-14.70488,-3.0145495,jóvenes,1473
-9.909129,-16.622828,portaban,58
-8.092242,-17.00474,bombas,219
-8.248696,-16.32421,incendiarias,28
-11.681157,-2.508273,autoridades,4692
0.92966974,43.11833,indicaron,1289
-5.0705805,-4.59622,protagonistas,142
3.801864,10.791831,hechos,2134
22.878054,-9.027436,estudiantes,1833
14.623936,10.9994,investiga,471
21.881296,-9.233977,colegio,954
-2.0700433,-29.898098,pertenecían,57
2.5615728,-16.665964,aprehendidos,34
22.708572,-9.0623255,alumnos,733
13.451685,29.64254,denunciaron,354
-30.19014,-14.631126,indiscriminado,16
-7.3692746,-15.789935,gases_lacrimógenos,148
12.169997,-4.691024,similar,647
-14.438435,4.498193,ocurrido,1622
56.55127,-1.3947518,rodrigo_pino,65
56.41821,-1.3882753,rbb,909
4.4012628,-23.789282,bomberos,1139
4.5863533,-23.621994,controlar_situación,45
-30.111427,13.280138,clases,787
-20.917206,43.60786,suspendidas,109
27.313496,38.54701,sala_senado,56
5.3136797,40.507923,aprobó,557
-18.66043,37.60511,proyecto_ley,772
1.6376119,4.094533,migraciones,114
14.544485,46.490746,presentado,835
29.29328,29.63741,gobierno,14991
-18.50788,38.01429,iniciativa,1756
-23.61359,39.796547,entrará,58
-21.89391,48.875362,fase,314
-18.407513,37.12771,indicaciones,197
-6.7265754,39.716526,particular,1042
-3.4849043,46.68253,iniciativa_busca,67
-16.686695,36.844814,modificar,357
-23.737429,36.071186,política_migratoria,149
7.821408,-31.99422,país,13812
-51.063484,-20.451113,año,9087
16.791677,-18.291494,1975,62
6.2983804,38.574593,votación,1151
2.804758,45.97125,resolvió,176
-55.294632,8.566793,41,297
-33.32861,11.134868,votos,1507
7.9411983,35.914253,favor,1692
-44.1634,-16.743341,0,186
-33.34626,11.228611,abstenciones,93
-19.55625,51.574997,abrirá,91
-44.24594,7.4577565,periodo,1093
-6.945424,37.624584,intervención,806
48.961014,19.182056,senador,1025
47.317062,21.635244,partido_socialista,300
50.43884,18.396553,josé_miguel,118
50.390774,18.476442,insulza,60
15.617352,32.605988,apoyó,143
-15.700849,25.03727,medidas,2135
-10.083011,39.12793,tomado,403
-8.906236,15.121878,torno,764
-5.7803035,19.361307,flujo_migratorio,53
-16.02121,6.774167,producido,192
-5.0991225,19.021208,crisis_política,229
-2.8076458,19.414045,social,1689
21.000515,23.899876,venezuela,5720
-14.798688,37.791286,fijar,131
-33.46848,27.508883,visa,353
19.214638,45.006634,decisión_tomada,78
-11.516176,-6.948896,consulados,41
1.9875807,-43.088303,tacna,78
35.401524,15.948217,lima,478
20.374025,48.7002,sostuvo,2331
48.775368,18.091532,senador_renovación,39
47.516113,6.997518,nacional,4085
48.538536,18.893108,francisco_chahuán,65
14.14353,30.702238,calificó,999
-23.335535,33.165627,legislación,476
23.014164,-12.088218,moderna,120
15.620134,51.07798,asegurando,724
-17.452576,30.290354,derechos,1148
-11.488087,-4.611582,migrantes,1821
-18.435572,33.70314,regular,291
-6.778477,20.176056,migración,663
-24.274645,46.25808,continuará,259
4.8768473,42.393005,trámite,470
-16.996014,15.450538,forma,4719
27.909363,38.72388,senado,1526
22.346346,-8.582069,comunidad_educativa,49
18.44435,44.870228,acción,1420
5.924658,-20.005722,policial,1024
-2.486296,32.442883,respuesta,1914
15.860404,2.9731364,grupo,3930
8.985548,-16.022058,menor,2157
-10.010396,13.177526,enfrentó,143
-23.063671,-14.152621,techumbre,52
26.454134,-12.413889,profesor,581
50.154495,-11.162127,claudio,381
49.9399,3.066416,segovia,26
-1.3734618,32.99586,salida,1575
53.30091,-8.186943,alonso,86
-2.5154974,-48.772938,ovalle,71
19.50856,11.1931925,orden,1279
23.2653,-8.915807,rectoría,32
